trip_index,route_index,trip_headsign,direction_id
803,483,Dejvicka,0
804,439,Trebonice,0
805,113,Sidliste Barrandov,1
806,693,Nadrazi Uhrineves,0
807,787,Nedvezi,0
808,456,Karlovo namesti,1
809,105,Nadrazi Veleslavin,1
810,786,Haje,1
811,614,Sidliste Barrandov,1
812,763,Velka Ohrada,1
813,965,Nove Strasnice,0
814,366,Poliklinika Petriny,0
815,184,Dvorce,0
816,693,Nadrazi Uhrineves,0
817,181,Dvorce,0
818,893,Andel,1
819,16,Spojovaci,0
820,121,Na Knizeci,1
821,925,Vozovna Zizkov,0
822,44,Ladvi,1
823,17,Spojovaci,0
824,745,Cerny Most,1
825,1166,Muzeum,0
826,1167,Letnany,1
827,762,Velka Ohrada,1
828,0,Sidliste Petriny,1
829,132,Nadrazi Branik,0
830,575,Sidliste Letnany,1
831,587,Haje,1
832,575,Sidliste Letnany,1
833,252,Kobylisy,1
834,252,Kobylisy,1
835,873,Divoka Sarka,1
836,455,Stadion Strahov,0
837,613,Sidliste Barrandov,1
838,115,Vystaviste,0
839,610,Divoka Sarka,0
840,37,Sidliste Bohnice,0
841,13,Sidliste Repy,1
842,936,Kubanske namesti,0
843,210,Ustavy Akademie ved,0
844,83,Nadrazi Holesovice,1
845,751,Cerny Most,1
846,99,Nove Komorany,0
847,360,Kobylisy,1
848,200,Jizni Mesto,0
849,12,Sidliste Repy,1
850,105,Nadrazi Veleslavin,1
851,687,Zelivskeho,1
852,347,Sidliste Repy,1
853,793,Poliklinika Malesice,1
854,864,Lehovec,0
855,864,Lehovec,0
856,342,Sidliste Repy,1
857,864,Lehovec,0
858,310,Poliklinika Malesice,0
859,342,Sidliste Repy,1
860,363,Depo Hostivar,1
861,685,Nadrazi Klanovice-sever,1
862,406,Vozovna Kobylisy,0
863,336,Kotlarka,1
864,406,Vozovna Kobylisy,0
865,1144,Nemocnice Motol,0
866,260,Dejvicka,1
867,37,Sidliste Bohnice,0
868,757,Ve Zlibku,0
869,31,Zentiva,1
870,757,Ve Zlibku,0
871,619,Cerny Most,0
872,516,Vozovna Kobylisy,1
873,426,Ve Zlibku,0
874,752,Cerny Most,1
875,206,U Waltrovky,0
876,784,Lipany,0
877,53,Dejvicka,1
878,35,Zentiva,1
879,547,Smichovske nadrazi,1
880,745,Cerny Most,1
881,547,Smichovske nadrazi,1
882,413,Vozovna Kobylisy,0
883,587,Haje,1
884,450,Florenc,1
885,573,Jesenicka,0
886,574,Jesenicka,0
887,292,Sidliste Cimice,1
888,574,Jesenicka,0
889,292,Sidliste Cimice,1
890,145,Skalka,0
891,318,Treboradice,0
892,267,Dejvicka,1
893,46,Smichovske nadrazi,0
894,87,Zoologicka zahrada,0
895,84,Zoologicka zahrada,0
896,84,Zoologicka zahrada,0
897,362,Sidliste Rohoznik,0
898,238,Miskovice,0
899,444,Florenc,1
900,694,Nadrazi Uhrineves,0
901,55,Dejvicka,0
902,55,Dejvicka,0
903,87,Zoologicka zahrada,0
904,784,Lipany,0
905,81,Skalka,1
906,1164,Haje,0
907,1171,Prazskeho povstani,1
908,1163,Letnany,1
909,386,Nemocnice Na Homolce,0
910,456,Karlovo namesti,1
911,189,Chodov,0
912,114,Narodni divadlo,1
913,940,Kubanske namesti,0
914,114,Narodni divadlo,1
915,868,Lehovec,0
916,12,Sidliste Repy,1
917,373,Sidliste Zbraslav,1
918,656,Letnany,1
919,114,Narodni divadlo,1
920,142,Zeleny pruh,0
921,386,Nemocnice Na Homolce,0
922,199,Sidliste Cakovice,1
923,120,Narodni divadlo,1
924,203,Sidliste Cakovice,1
925,120,Narodni divadlo,1
926,156,Bane,0
927,139,Kavalirka,1
928,112,Sidliste Barrandov,1
929,301,Strasnicka,1
930,489,Cerny Most,1
931,395,Bila Hora,0
932,628,Cerny Most,0
