stop_index,stop_name
649,Klamovka
650,Klamovka
651,Klamovka
652,Klamovka
653,Klamovka
654,Klamovka
655,Klanova
656,Klanova
657,Klanovice
658,Klanovice
659,Klaruv ustav
660,Klaruv ustav
661,Luziny
662,Luziny
663,Klicov
664,Klicov
665,Klicovska
666,Klicovska
667,Klikovka
668,Klikovka
669,Korunovacni
670,Korunovacni
671,Korunovacni
672,Kloboucnicka
673,Kloboucnicka
674,Kloboucnicka
675,Kloboucnicka
676,Kloboucnicka
677,Klukovice
678,Klukovice
679,Brumlovka
680,Brumlovka
681,Knezska luka
682,Knezska luka
683,Knezska luka
684,Knezska luka
685,Sluzska
686,Sluzska
687,Kodanska
688,Koh-i-noor
689,Koh-i-noor
690,Koh-i-noor
691,Koh-i-noor
692,Kokorinska
693,Kokorinska
694,Koleje Jizni Mesto
695,Koleje Jizni Mesto
696,Divadlo pod Palmovkou
697,Koleje Vetrnik
698,Kolodeje
699,Kolodeje
700,Kolodejska obora
701,Kolodejska obora
702,Kolonie
703,Kolonie
704,Skola Kolovraty
705,Skola Kolovraty
706,Zdimericka
707,Zdimericka
708,Komarovska
709,Komarovska
710,Komorany
711,Komorany
712,Komorany
713,Bavorska
714,Bavorska
715,Bavorska
716,Bavorska
717,Konvarka
718,Nad Dzbanem
719,Nad Dzbanem
720,Nad Dzbanem
721,Nad Dzbanem
722,Korandova
723,Korandova
724,Korek
725,Korek
726,Haje
727,Haje
728,Haje
729,Haje
730,Haje
731,Haje
732,Haje
733,Dablice
734,Dablice
735,Dablice
736,Dablice
737,Kostrounek
738,Kostrounek
739,Kotlarka
740,Kotlarka
741,Kotlarka
742,Kotlarka
743,Kotlarka
744,Kotlarka
745,Kotlarka
746,Kotlarka
747,Kovarna
748,Kovarna
749,Libechovska
750,Libechovska
751,Kovosrot
752,Kovosrot
753,Kralova
754,Kralova
755,Kralova
756,Kralovice
757,Kralovice
758,Krcska
759,Krcska
760,Krcsky hrbitov
761,Krcsky hrbitov
762,Krematorium Strasnice
763,Krematorium Strasnice
764,Krocinka
765,Krocinka
766,Krymska
767,Krymska
768,Krizova
769,Krizova
770,Krizova
771,Krizova
772,Kublov
773,Kublov
774,Ovci hajek
775,Ovci hajek
776,Kuchynka
777,Kuchynka
778,Nemocnice Motol
779,Nemocnice Motol
780,Nemocnice Motol
781,Nemocnice Motol
782,Na Proutcich
